product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3009;241;Connected
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;873;3238;1128;449;h323;off;auto;besteffort;auto;telephone-event-80000;auto;360;on;off;507;4898;52;4142;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1404;1413;1331;3197;irc;off;tls;off;false;speex-8000;auto;360;on;off;507;4898;52;4479;Failed
googletalk;off;auto;besteffort;true;ilbc-8000;ulpfec;1080;off;off;1492;4751;1331;79;icq;on;auto;off;false;ilbc-8000;ulpfec;1080;on;on;514;3358;3415;4146;Failed
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;910;2678;1581;3193;ippi;off;udp;off;true;pcma-8000;auto;360;on;off;518;4945;4027;288;Failed
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;910;2678;1581;3193;ippi;off;udp;off;true;auto;auto;360;on;off;664;4945;52;4872;Failed
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;on;off;838;2276;3799;3242;ippi;on;tls;off;true;pcma-8000;auto;360;on;off;500;4755;2949;4635;Failed
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;2861;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290;Connected
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;icq;on;tls;off;false;speex-8000;auto;720;on;off;507;4611;200;4420;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1420;1801;2861;3242;iptel.org;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1492;1277;2861;3242;iptel.org;off;tls;off;false;speex-8000;auto;720;on;on;507;4980;4770;4290;Connected
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;1801;2861;3218;iptel.org;off;auto;off;false;amr-wb-16000;rtx;1080;on;on;507;4980;200;4418;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1482;1465;1409;3193;ippi;off;auto;off;true;speex-8000;rtx;1080;on;on;507;2130;3009;428;Connected
googletalk;off;tcp;off;auto;telephone-event-80000;auto;1080;off;off;873;4098;4894;415;ippi;off;auto;besteffort;true;pcma-8000;auto;360;on;off;664;4945;52;4418;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;1014;749;4142;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;auto;1080;off;off;1492;1801;4367;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4945;52;4142;Failed
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;4630;3997;449;iptel.org;off;auto;besteffort;auto;auto;auto;240;on;on;664;4980;52;4290;Failed
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4603;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;1262;2323;4142;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;iptel.org;off;tls;off;false;speex-8000;auto;720;on;off;664;4945;52;4290;Failed
googletalk;on;auto;besteffort;auto;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;514;3358;3324;428;Failed
googletalk;off;auto;off;auto;gsm-8000;auto;1080;off;off;952;3238;1128;1081;h323;off;auto;off;true;pcma-8000;auto;360;on;off;500;4755;2949;4146;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428;Connected
googletalk;off;auto;off;auto;gsm-8000;auto;1080;off;off;910;2269;349;3188;ippi;off;udp;off;false;pcma-8000;auto;720;on;off;664;4980;52;4290;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;icq;off;auto;off;true;pcma-8000;auto;360;on;on;507;2053;1302;4418;Connected
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;ippi;off;auto;besteffort;auto;auto;auto;360;on;off;507;4945;52;4142;Failed
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;irc;off;auto;besteffort;auto;auto;auto;360;on;off;507;4945;52;4146;Failed
googletalk;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;290;79;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4290;Connected
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428;Connected
aim;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1482;1465;290;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290;Connected
aim;on;auto;off;auto;telephone-event-80000;auto;1080;off;off;1362;4098;4894;1078;ippi;off;auto;off;true;telephone-event-80000;auto;360;on;off;507;4898;52;4142;Connected
sip;off;tcp;off;auto;telephone-event-80000;auto;1080;off;off;591;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;360;on;off;507;4898;52;4142;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;1331;3218;iptel.org;off;tls;off;false;ilbc-8000;auto;720;on;off;507;3358;1302;2655;Failed
googletalk;on;tls;off;true;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4142;Connected
googletalk;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;3682;4894;1078;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;507;4611;52;4290;Failed
googletalk;off;tcp;off;auto;gsm-8000;auto;1080;on;off;591;4265;4894;3193;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;507;4945;52;4142;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;auto;off;false;speex-8000;rtx;1080;on;on;507;2130;3009;428;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1372;1801;2247;3242;ippi;off;tls;off;false;pcmu-8000;auto;360;on;on;515;3745;52;4142;Connected
aim;on;auto;on;auto;pcmu-8000;auto;1080;off;off;1492;1122;1357;3242;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;1302;3501;Failed
sip;off;tls;off;true;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4290;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290;Failed
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;873;4098;4894;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4945;52;4142;Failed
sip;off;auto;off;auto;telephone-event-80000;ulpfec;1080;off;off;979;4630;4416;690;h323;off;auto;besteffort;auto;auto;auto;240;on;off;664;4611;200;4142;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;1115;79;iptel.org;off;auto;off;true;speex-8000;rtx;1080;on;off;507;3366;52;4366;Failed
googletalk;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;290;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290;Failed
googletalk;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;873;3238;642;477;irc;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4146;Failed
googletalk;off;tcp;off;auto;telephone-event-80000;auto;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4611;200;4451;Connected
googletalk;on;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;3238;642;477;irc;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4146;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;3137;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;540;4755;827;3876;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;1743;3242;icq;on;tls;off;false;speex-8000;rtx;720;on;off;507;2130;3324;428;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;824;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;514;3358;3415;4146;Connected
googletalk;off;auto;besteffort;auto;speex-8000;ulpfec;1080;off;off;1492;4751;61;132;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;500;4945;52;4142;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1446;1801;2861;3242;icq;off;tls;off;false;pcma-8000;ulpfec;720;on;on;507;3358;3167;4418;Failed
googletalk;off;auto;off;auto;speex-8000;ulpfec;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;true;pcmu-8000;auto;360;on;off;507;4877;2949;4146;Failed
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;1743;3242;ippi;off;auto;off;true;pcma-8000;auto;1080;on;on;507;3366;749;4142;Connected
googletalk;on;auto;on;auto;speex-8000;ulpfec;1080;off;on;952;3238;1128;1523;h323;off;auto;besteffort;auto;auto;auto;240;on;off;507;4898;52;4142;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;iptel.org;on;tls;off;true;pcma-8000;auto;1080;on;off;507;1270;1110;428;Connected
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1405;1357;3193;ippi;off;udp;off;true;pcmu-8000;auto;360;on;on;507;4945;52;4142;Failed
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;979;4630;4416;690;h323;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4142;Failed
aim;on;auto;on;auto;speex-8000;ulpfec;1080;on;off;1407;4605;4894;3193;h323;off;auto;off;true;pcmu-8000;auto;240;on;on;540;4898;2223;4744;Failed
aim;off;auto;off;auto;silk-12000;auto;1080;off;off;910;2269;349;3188;ippi;off;udp;off;false;pcma-8000;auto;720;on;off;664;4980;52;4290;Connected
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428;Failed
icq;on;auto;off;auto;speex-8000;ulpfec;1080;off;off;1492;4751;61;132;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;540;4755;827;3876;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;tls;off;true;speex-8000;auto;720;on;on;507;3366;1302;1164;Connected
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;3682;4894;1078;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;507;4898;52;4142;Failed
sip;on;auto;besteffort;auto;speex-8000;ulpfec;1080;off;off;1492;3238;1128;449;h323;off;auto;besteffort;auto;pcmu-8000;auto;360;on;off;664;4945;52;4142;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1122;1357;3242;iptel.org;on;tls;off;false;speex-8000;rtx;1080;on;on;540;4755;827;3876;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;tls;off;false;speex-8000;ulpfec;1080;on;on;507;3366;1262;1102;Connected
googletalk;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4980;2323;4142;Connected
aim;on;auto;on;auto;pcmu-8000;h264;1080;off;off;910;2269;349;3188;ippi;off;udp;off;false;pcma-8000;auto;720;on;on;542;3366;1302;1164;Failed
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;3193;ippi;off;auto;besteffort;auto;telephone-event-80000;auto;360;on;off;507;4898;52;4142;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2861;3242;iptel.org;off;tls;off;false;speex-8000;auto;720;on;on;507;3358;3415;4146;Connected
googletalk;off;auto;off;auto;speex-8000;vp8;1080;off;off;1492;1801;2861;3242;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;507;4898;52;4142;Failed
aim;off;auto;besteffort;auto;pcmu-8000;auto;1080;on;off;910;2269;349;3188;googletalk;off;auto;off;false;pcma-8000;ulpfec;1080;on;on;514;3358;3324;428;Connected
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;415;h323;off;auto;besteffort;auto;auto;auto;240;on;off;664;4945;52;4290;Failed
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;3193;ippi;on;udp;off;true;pcma-8000;auto;360;on;off;664;4945;52;4290;Failed
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1390;2247;3242;icq;off;udp;off;false;pcma-8000;ulpfec;1080;on;on;507;4611;200;4142;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;ippi;off;auto;off;true;ilbc-8000;ulpfec;1080;on;on;514;3358;3415;4146;Connected
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;on;auto;off;false;amr-wb-16000;ulpfec;240;on;on;507;4755;827;4146;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;ippi;off;auto;off;true;pcmu-8000;auto;360;on;off;829;826;2669;3501;Failed
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;1492;4751;61;132;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;500;4945;52;4142;Failed
aim;off;auto;off;auto;telephone-event-80000;auto;1080;on;off;636;4098;4894;3193;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;664;4945;52;4290;Failed
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;1078;ippi;off;auto;besteffort;true;pcma-8000;auto;360;on;off;664;4945;52;4142;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;61;132;ippi;off;auto;off;true;auto;auto;360;on;off;540;4755;827;3876;Connected
sip;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1120;79;iptel.org;off;auto;off;auto;speex-8000;ulpfec;1080;on;on;514;3358;3415;4146;Failed
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4603;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4980;2323;4142;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;iptel.org;on;tls;off;false;pcma-8000;auto;360;on;on;507;4980;200;4418;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1446;1801;1743;3193;iptel.org;off;tls;off;false;speex-8000;rtx;720;on;on;507;4370;928;864;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1446;1801;2247;3193;ippi;off;auto;off;true;pcmu-8000;auto;240;on;on;540;4898;2223;4744;Connected
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;amr-wb-16000;ulpfec;1080;on;on;507;3366;1302;1565;Connected
aim;on;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4980;200;4142;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1122;1357;3242;iptel.org;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;4142;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;iptel.org;off;auto;off;true;pcmu-8000;auto;360;on;off;518;4945;52;4290;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;2355;1120;79;iptel.org;off;auto;off;auto;speex-8000;ulpfec;1080;on;on;514;3358;3415;4146;Failed
icq;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1492;4751;1120;79;iptel.org;off;auto;off;auto;speex-8000;ulpfec;1080;on;on;514;3358;3415;4146;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1476;1801;931;3242;iptel.org;on;udp;off;false;pcma-8000;ulpfec;720;on;on;507;3358;3167;4418;Failed
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;2861;3242;icq;on;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3366;749;957;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1420;1801;2861;3242;icq;off;tls;off;false;speex-8000;auto;360;on;off;507;4898;52;4479;Connected
googletalk;on;auto;besteffort;auto;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;speex-8000;rtx;1080;off;on;507;2130;3324;4142;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1446;1801;2247;3242;icq;on;tls;off;false;speex-8000;ulpfec;1080;on;on;507;3366;1262;3280;Failed
googletalk;off;tls;off;auto;speex-8000;ulpfec;1080;off;off;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4142;Failed
aim;on;auto;besteffort;true;pcma-8000;h264;1080;off;off;1492;1122;642;3197;icq;off;udp;off;false;pcma-8000;ulpfec;1080;on;on;507;3849;3494;3876;Failed
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;ippi;off;auto;besteffort;auto;auto;auto;360;on;off;664;4945;52;4290;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;1115;79;iptel.org;off;auto;off;false;speex-8000;auto;1080;on;on;540;4755;827;4290;Failed
